source_reference,category,media_filename,storage_path,supabase_public_url,source_locations,notes
/images/5-1.jpg,A. SUPABASE READY,5-1.jpg,images/5-1.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/5-1.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/5.jpg,A. SUPABASE READY,5.jpg,images/5.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/5.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/6-1.jpg,A. SUPABASE READY,6-1.jpg,images/6-1.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/6-1.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/6-2.jpg,A. SUPABASE READY,6-2.jpg,images/6-2.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/6-2.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/6.jpg,A. SUPABASE READY,6.jpg,images/6.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/6.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/7-1.jpg,A. SUPABASE READY,7-1.jpg,images/7-1.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/7-1.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/7.jpg,A. SUPABASE READY,7.jpg,images/7.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/7.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/8-1.jpg,A. SUPABASE READY,8-1.jpg,images/8-1.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/8-1.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/8.jpg,A. SUPABASE READY,8.jpg,images/8.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/8.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/9-1.jpg,A. SUPABASE READY,9-1.jpg,images/9-1.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/9-1.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/9.jpg,A. SUPABASE READY,9.jpg,images/9.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/9.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/Anjani-mam--150x150.jpg,A. SUPABASE READY,Anjani-mam--150x150.jpg,images/Anjani-mam--150x150.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/Anjani-mam--150x150.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/D.jpg,A. SUPABASE READY,D.jpg,images/D.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/D.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/Dr.SHAIK-karimulla-Founder-and-Chairman.jpg,A. SUPABASE READY,Dr.SHAIK-karimulla-Founder-and-Chairman.jpg,images/Dr.SHAIK-karimulla-Founder-and-Chairman.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/Dr.SHAIK-karimulla-Founder-and-Chairman.jpg,app\page.tsx,Exact filename exists in 134 Supabase migrated records
/images/E.jpg,A. SUPABASE READY,E.jpg,images/E.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/E.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/Education-Schoogalleryl.png,A. SUPABASE READY,Education-Schoogalleryl.png,images/Education-Schoogalleryl.png,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/Education-Schoogalleryl.png,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/F.jpg,A. SUPABASE READY,F.jpg,images/F.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/F.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/G.jpg,A. SUPABASE READY,G.jpg,images/G.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/G.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/H.jpg,A. SUPABASE READY,H.jpg,images/H.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/H.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/IMG-20220416-WA0086-150x150.jpg,A. SUPABASE READY,IMG-20220416-WA0086-150x150.jpg,images/IMG-20220416-WA0086-150x150.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/IMG-20220416-WA0086-150x150.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/IMG-20220416-WA0086.jpg,B. LOCAL ONLY,IMG-20220416-WA0086.jpg,N/A,N/A,lib\data\pages-data.ts,Referenced in website code but not in 134 Supabase migrated records
/images/IMG-20250204-WA0005-r10528a94ed9pb7cs4d9m4l1mu028cfx032867z1y8.jpg,A. SUPABASE READY,IMG-20250204-WA0005-r10528a94ed9pb7cs4d9m4l1mu028cfx032867z1y8.jpg,images/IMG-20250204-WA0005-r10528a94ed9pb7cs4d9m4l1mu028cfx032867z1y8.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/IMG-20250204-WA0005-r10528a94ed9pb7cs4d9m4l1mu028cfx032867z1y8.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/IMG-20250204-WA0006-r1051f5ca671kxfapd8lx9gmume92ebkrukilr1vs0.jpg,A. SUPABASE READY,IMG-20250204-WA0006-r1051f5ca671kxfapd8lx9gmume92ebkrukilr1vs0.jpg,images/IMG-20250204-WA0006-r1051f5ca671kxfapd8lx9gmume92ebkrukilr1vs0.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/IMG-20250204-WA0006-r1051f5ca671kxfapd8lx9gmume92ebkrukilr1vs0.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/IMG-20250204-WA0100.jpg,A. SUPABASE READY,IMG-20250204-WA0100.jpg,images/IMG-20250204-WA0100.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/IMG-20250204-WA0100.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/IMG-20250204-WA0101.jpg,A. SUPABASE READY,IMG-20250204-WA0101.jpg,images/IMG-20250204-WA0101.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/IMG-20250204-WA0101.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/IMG-20250204-WA0102.jpg,A. SUPABASE READY,IMG-20250204-WA0102.jpg,images/IMG-20250204-WA0102.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/IMG-20250204-WA0102.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/IMG-20250206-WA0013-1024x576.jpg,B. LOCAL ONLY,IMG-20250206-WA0013-1024x576.jpg,N/A,N/A,lib\data\pages-data.ts,Referenced in website code but not in 134 Supabase migrated records
/images/IMG-20250206-WA0013-300x169.jpg,A. SUPABASE READY,IMG-20250206-WA0013-300x169.jpg,images/IMG-20250206-WA0013-300x169.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/IMG-20250206-WA0013-300x169.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
